,name,sub_type,management,ward_name,lga_name,state_name,geometry
33,Gateway Industrial And Petrol Gas Institute,Adult Education,Public,Iwopin 2,Ogun Waterside,Ogun,POINT (4.254868333 6.540323333)
34,Gateway Polytechnic,Adult Education,Public,Isara 2,Remo North,Ogun,POINT (3.670993333 6.987255)
35,Redeemer's University,Adult Education,Public,Isote,Shagamu,Ogun,POINT (3.45885 6.81278)
36,Redeemers University Mini Campus,Adult Education,Private Faith Based,Isote,Shagamu,Ogun,POINT (3.4602102 6.8146888)
0,Issele Uku Technical College Issele Uku,Adult Education,Public,Issele-Uku 1,Aniocha North,Delta,POINT (6.500436000000036 6.305565000000058)
1,Matmo Technical Vocational College,Standard,Private,Onicha-Olona,Aniocha North,Delta,POINT (6.564490000000035 6.383765000000039)
2,Admiralty University,Tertiary,Public,Otulu,Aniocha South,Delta,POINT (6.57215 6.1641)
3,Delta State Polytechnic Ogwashi Uku,Tertiary,Public,Otulu,Aniocha South,Delta,POINT (6.56943 6.22194)
4,Azobemors International Educational Centre,Aggregate,Private,Bomadi,Bomadi,Delta,POINT (5.93012600000003 5.170780000000036)
5,State School of Nursing,Adult Education,State Government,Ovu,Ethiope East,Delta,POINT (5.991812462820403 5.7441240006338)
6,Best Brain University Academy,Standard,Public,Ogharefe 1,Ethiope West,Delta,POINT (5.68967200000003 5.951058000000046)
7,Western Delta University Ogharefe,Adult Education,Public,Ogharefe 1,Ethiope West,Delta,POINT (5.67096 5.94421)
8,College of Education,Adult Education,State Government,Emuhu,Ika South,Delta,POINT (6.180496991477841 6.255114248806386)
9,State School of Nursing,Adult Education,State Government,Emuhu,Ika South,Delta,POINT (6.183958357117053 6.256647837642676)
10,School Of Nursing Alibuba,Adult Education,Public,Emuhu,Ika South,Delta,POINT (6.18459 6.25637)
11,Institue Of Continuos Education Ozoro,Standard,Private,Ozoro 2,Isoko North,Delta,POINT (6.226370000000031 5.53875800000003)
12,Women Education Centre Ozoro,Adult Education,Public,Ozoro 3,Isoko North,Delta,POINT (6.238046000000054 5.543933000000038)
13,Golden Edu Center,Standard,Public,Ozoro 3,Isoko North,Delta,POINT (6.229345000000023 5.545473000000072)
14,Isoko North Skill Acquisation Center Ozoro,Adult Education,Private,Ozoro 3,Isoko North,Delta,POINT (6.238056000000029 5.54390600000005)
15,Otagba Ogbe Technical College Kwale,Standard,Public,Ogume 7,Ndokwa West,Delta,POINT (6.411929000000043 5.684582000000034)
16,University Of Asaba Asaba,Adult Education,Public,Umuodafe,Oshimili North,Delta,POINT (6.68997 6.20085)
17,Federal University Of Petroleum Resources Effurun,Adult Education,Public,Alaka,Uvwie,Delta,POINT (5.79591 5.57447)
18,The Federal University Of Petroleum Reources Main Campus Ugbomro,Adult Education,Public,Ugbomro,Uvwie,Delta,POINT (5.84104 5.57186)
19,Science Prepartory Centre,Standard,Private,Esisi,Warri South,Delta,POINT (5.759802000000036 5.534263000000067)
20,State School of Nursing,Adult Education,State Government,Okere,Warri South,Delta,POINT (5.740119173241077 5.520348462104127)
21,Institute Of Continuing Education,Standard,Public,Okere,Warri South,Delta,POINT (5.747221000000025 5.518687000000057)
0,Government Technical College,Adult Education,Public,Abak 3,Abak,Akwa Ibom,POINT (7.792313000000036 4.976040000000069)
1,School Of Pyschiatry Nursing Atibe,Adult Education,Public,Urban 4,Eket,Akwa Ibom,POINT (7.922114730076419 4.635037616266375)
2,Eket Vocational Technical College Effoi,Adult Education,Private,Central 4,Eket,Akwa Ibom,POINT (8.004784000000029 4.671838000000037)
3,Hidden Treasure Christian Acedemy Idung Akpesan,Adult Education,Public,Etebi 1,Esit Eket,Akwa Ibom,POINT (8.104074307860262 4.658474115447599)
4,Union Technical College,Adult Education,Faith Based,Uquo 1,Esit Eket,Akwa Ibom,POINT (8.047111000000029 4.663128000000029)
5,Adult Education Centre,Adult Education,Public,South Iman 4,Etinan,Akwa Ibom,POINT (7.816594000000066 4.726830000000064)
6,Ika Community Vocational Institute,Adult Education,Public,Odoro 2,Ika,Akwa Ibom,POINT (7.469303000000025 4.972199000000046)
7,Life Leadership University Ikot Antia,Adult Education,Public,Achan 3,Ika,Akwa Ibom,POINT (7.587678423307863 5.032712731168123)
8,Ukpum Ete Secondary Technical School Ete,Adult Education,Public,Ukpon Ete 2,Ikot Abasi,Akwa Ibom,POINT (7.657271000000037 4.581800000000044)
